 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_mean ess_sd ess_bulk ess_tail r_hat
sfr[8,0] 0.01 0.008 0.0 0.025 0.0 0.0 2791.0 2467.0 2067.0 1234.0 1.0
sfr[8,1] 0.021 0.016 0.0 0.048 0.0 0.0 1921.0 1921.0 1220.0 825.0 1.0
sfr[8,2] 0.027 0.019 0.0 0.062 0.001 0.0 1213.0 1213.0 990.0 873.0 1.0
sfr[9,0] 0.01 0.009 0.0 0.027 0.0 0.0 2660.0 2240.0 2148.0 1253.0 1.0
sfr[9,1] 0.021 0.016 0.0 0.05 0.0 0.0 1720.0 1720.0 1380.0 1149.0 1.0
sfr[9,2] 0.027 0.02 0.0 0.063 0.001 0.0 1146.0 1146.0 933.0 830.0 1.0
sfr[10,0] 0.012 0.01 0.0 0.03 0.0 0.0 2227.0 2227.0 1713.0 1181.0 1.0
sfr[10,1] 0.023 0.016 0.0 0.052 0.0 0.0 1727.0 1727.0 1522.0 1451.0 1.0
sfr[10,2] 0.028 0.02 0.0 0.064 0.001 0.0 973.0 973.0 749.0 540.0 1.0
sfr[11,0] 0.012 0.01 0.0 0.03 0.0 0.0 1663.0 1663.0 1334.0 999.0 1.0
sfr[11,1] 0.024 0.018 0.0 0.056 0.0 0.0 1513.0 1513.0 1226.0 891.0 1.0
sfr[11,2] 0.032 0.023 0.0 0.073 0.001 0.001 979.0 979.0 800.0 770.0 1.0
sfr[12,0] 0.013 0.011 0.0 0.033 0.0 0.0 2438.0 2240.0 1875.0 1172.0 1.0
sfr[12,1] 0.031 0.021 0.0 0.069 0.001 0.001 855.0 855.0 688.0 625.0 1.0
sfr[12,2] 0.039 0.026 0.0 0.085 0.001 0.001 850.0 850.0 682.0 449.0 1.0
sfr[13,0] 0.018 0.014 0.0 0.042 0.0 0.0 1743.0 1743.0 1290.0 804.0 1.0
sfr[13,1] 0.049 0.029 0.001 0.097 0.001 0.001 695.0 695.0 638.0 679.0 1.0
sfr[13,2] 0.056 0.031 0.002 0.109 0.001 0.001 597.0 597.0 505.0 501.0 1.0
sfr[14,0] 0.044 0.023 0.002 0.082 0.001 0.0 1056.0 1056.0 989.0 931.0 1.0
sfr[14,1] 0.082 0.037 0.015 0.145 0.001 0.001 618.0 618.0 594.0 692.0 1.0
sfr[14,2] 0.082 0.034 0.022 0.147 0.001 0.001 582.0 582.0 559.0 581.0 1.01
sfr[15,0] 0.093 0.028 0.043 0.149 0.001 0.001 723.0 723.0 733.0 857.0 1.0
sfr[15,1] 0.121 0.039 0.049 0.191 0.002 0.001 648.0 648.0 639.0 742.0 1.0
sfr[15,2] 0.11 0.036 0.047 0.179 0.001 0.001 626.0 626.0 634.0 608.0 1.01
sfr[16,0] 0.144 0.028 0.093 0.197 0.001 0.001 824.0 811.0 828.0 928.0 1.0
sfr[16,1] 0.155 0.035 0.094 0.223 0.001 0.001 1134.0 1134.0 1129.0 1199.0 1.0
sfr[16,2] 0.129 0.035 0.066 0.194 0.001 0.001 643.0 643.0 639.0 631.0 1.01
sfr[17,0] 0.18 0.025 0.131 0.226 0.001 0.0 1554.0 1554.0 1547.0 1340.0 1.0
sfr[17,1] 0.178 0.037 0.115 0.252 0.001 0.001 1181.0 1181.0 1146.0 1374.0 1.0
sfr[17,2] 0.136 0.037 0.068 0.208 0.002 0.001 587.0 587.0 582.0 848.0 1.01
sfr[18,0] 0.202 0.037 0.127 0.271 0.002 0.001 594.0 594.0 595.0 561.0 1.0
sfr[18,1] 0.193 0.062 0.078 0.299 0.002 0.002 619.0 619.0 598.0 1045.0 1.0
sfr[18,2] 0.14 0.054 0.043 0.237 0.002 0.002 595.0 595.0 584.0 1096.0 1.0
sfr[19,0] 0.219 0.077 0.068 0.363 0.003 0.002 587.0 587.0 582.0 443.0 1.0
sfr[19,1] 0.205 0.107 0.012 0.383 0.004 0.003 658.0 658.0 634.0 918.0 1.0
sfr[19,2] 0.143 0.089 0.001 0.295 0.003 0.002 754.0 754.0 700.0 731.0 1.0
x[0,0] 0.001 0.001 0.0 0.004 0.0 0.0 2212.0 2212.0 1651.0 992.0 1.0
x[0,1] 0.002 0.002 0.0 0.005 0.0 0.0 1546.0 1546.0 1024.0 832.0 1.0
x[0,2] 0.004 0.003 0.0 0.008 0.0 0.0 1090.0 1090.0 803.0 617.0 1.0
x[1,0] 0.002 0.001 0.0 0.004 0.0 0.0 1963.0 1963.0 1559.0 1136.0 1.0
x[1,1] 0.003 0.002 0.0 0.007 0.0 0.0 1197.0 1197.0 898.0 754.0 1.0
x[1,2] 0.006 0.004 0.0 0.013 0.0 0.0 891.0 891.0 756.0 927.0 1.0
x[2,0] 0.002 0.001 0.0 0.005 0.0 0.0 2037.0 2037.0 1329.0 750.0 1.0
x[2,1] 0.003 0.003 0.0 0.008 0.0 0.0 1412.0 1412.0 984.0 753.0 1.0
x[2,2] 0.007 0.004 0.0 0.015 0.0 0.0 703.0 703.0 664.0 920.0 1.0
x[3,0] 0.003 0.002 0.0 0.007 0.0 0.0 2737.0 2553.0 1614.0 717.0 1.0
x[3,1] 0.005 0.004 0.0 0.013 0.0 0.0 1944.0 1944.0 1221.0 978.0 1.0
x[3,2] 0.01 0.007 0.0 0.022 0.0 0.0 796.0 796.0 713.0 956.0 1.0
x[4,0] 0.004 0.003 0.0 0.01 0.0 0.0 1858.0 1858.0 1369.0 924.0 1.0
x[4,1] 0.007 0.006 0.0 0.017 0.0 0.0 1554.0 1554.0 1161.0 726.0 1.0
x[4,2] 0.012 0.009 0.0 0.028 0.0 0.0 1111.0 1111.0 906.0 789.0 1.0
x[5,0] 0.003 0.002 0.0 0.007 0.0 0.0 2061.0 2061.0 1618.0 1247.0 1.0
x[5,1] 0.005 0.004 0.0 0.011 0.0 0.0 1510.0 1510.0 1177.0 871.0 1.0
x[5,2] 0.007 0.005 0.0 0.016 0.0 0.0 1112.0 1112.0 979.0 863.0 1.0
x[6,0] 0.003 0.002 0.0 0.007 0.0 0.0 1883.0 1883.0 1414.0 1099.0 1.0
x[6,1] 0.005 0.004 0.0 0.012 0.0 0.0 1248.0 1248.0 974.0 900.0 1.01
x[6,2] 0.007 0.005 0.0 0.017 0.0 0.0 1347.0 1347.0 1045.0 1014.0 1.0
x[7,0] 0.003 0.002 0.0 0.007 0.0 0.0 2282.0 2276.0 1672.0 954.0 1.0
x[7,1] 0.006 0.004 0.0 0.013 0.0 0.0 1608.0 1608.0 1176.0 986.0 1.0
x[7,2] 0.008 0.006 0.0 0.018 0.0 0.0 1196.0 1196.0 793.0 688.0 1.0
x[8,0] 0.003 0.002 0.0 0.007 0.0 0.0 2791.0 2467.0 2067.0 1234.0 1.0
x[8,1] 0.006 0.005 0.0 0.014 0.0 0.0 1921.0 1921.0 1220.0 825.0 1.0
x[8,2] 0.008 0.006 0.0 0.019 0.0 0.0 1213.0 1213.0 990.0 873.0 1.0
x[9,0] 0.004 0.003 0.0 0.01 0.0 0.0 2660.0 2240.0 2148.0 1253.0 1.0
x[9,1] 0.008 0.006 0.0 0.019 0.0 0.0 1720.0 1720.0 1380.0 1149.0 1.0
x[9,2] 0.01 0.008 0.0 0.024 0.0 0.0 1146.0 1146.0 933.0 830.0 1.0
x[10,0] 0.005 0.004 0.0 0.013 0.0 0.0 2227.0 2227.0 1713.0 1181.0 1.0
x[10,1] 0.01 0.007 0.0 0.022 0.0 0.0 1727.0 1727.0 1522.0 1451.0 1.0
x[10,2] 0.012 0.009 0.0 0.028 0.0 0.0 973.0 973.0 749.0 540.0 1.0
x[11,0] 0.006 0.005 0.0 0.015 0.0 0.0 1663.0 1663.0 1334.0 999.0 1.0
x[11,1] 0.012 0.008 0.0 0.027 0.0 0.0 1513.0 1513.0 1226.0 891.0 1.0
x[11,2] 0.016 0.011 0.0 0.036 0.0 0.0 979.0 979.0 800.0 770.0 1.0
x[12,0] 0.007 0.006 0.0 0.018 0.0 0.0 2438.0 2240.0 1875.0 1172.0 1.0
x[12,1] 0.018 0.012 0.0 0.039 0.0 0.0 855.0 855.0 688.0 625.0 1.0
x[12,2] 0.022 0.015 0.0 0.049 0.001 0.0 850.0 850.0 682.0 449.0 1.0
x[13,0] 0.012 0.009 0.0 0.027 0.0 0.0 1743.0 1743.0 1290.0 804.0 1.0
x[13,1] 0.034 0.02 0.0 0.067 0.001 0.001 695.0 695.0 638.0 679.0 1.0
x[13,2] 0.038 0.021 0.001 0.074 0.001 0.001 597.0 597.0 505.0 501.0 1.0
x[14,0] 0.034 0.017 0.002 0.063 0.001 0.0 1056.0 1056.0 989.0 931.0 1.0
x[14,1] 0.065 0.029 0.012 0.116 0.001 0.001 618.0 618.0 594.0 692.0 1.0
x[14,2] 0.065 0.027 0.017 0.116 0.001 0.001 582.0 582.0 559.0 581.0 1.01
x[15,0] 0.08 0.024 0.036 0.127 0.001 0.001 723.0 723.0 733.0 857.0 1.0
x[15,1] 0.108 0.034 0.043 0.17 0.001 0.001 648.0 648.0 639.0 742.0 1.0
x[15,2] 0.096 0.031 0.041 0.157 0.001 0.001 626.0 626.0 634.0 608.0 1.01
x[16,0] 0.133 0.026 0.086 0.182 0.001 0.001 824.0 811.0 828.0 928.0 1.0
x[16,1] 0.146 0.033 0.088 0.21 0.001 0.001 1134.0 1134.0 1129.0 1199.0 1.0
x[16,2] 0.12 0.033 0.061 0.18 0.001 0.001 643.0 643.0 639.0 631.0 1.01
x[17,0] 0.18 0.025 0.131 0.226 0.001 0.0 1554.0 1554.0 1547.0 1340.0 1.0
x[17,1] 0.178 0.037 0.115 0.252 0.001 0.001 1181.0 1181.0 1146.0 1374.0 1.0
x[17,2] 0.136 0.037 0.068 0.208 0.002 0.001 587.0 587.0 582.0 848.0 1.01
x[18,0] 0.192 0.036 0.121 0.258 0.001 0.001 594.0 594.0 595.0 561.0 1.0
x[18,1] 0.182 0.059 0.074 0.283 0.002 0.002 619.0 619.0 598.0 1045.0 1.0
x[18,2] 0.132 0.051 0.041 0.225 0.002 0.001 595.0 595.0 584.0 1096.0 1.0
x[19,0] 0.118 0.041 0.036 0.196 0.002 0.001 587.0 587.0 582.0 443.0 1.0
x[19,1] 0.109 0.057 0.006 0.203 0.002 0.002 658.0 658.0 634.0 918.0 1.0
x[19,2] 0.076 0.048 0.0 0.157 0.002 0.001 754.0 754.0 700.0 731.0 1.0
alpha[0] 2.936 1.672 0.497 6.058 0.051 0.036 1092.0 1092.0 873.0 1064.0 1.0
alpha[1] 3.105 1.75 0.619 6.476 0.051 0.036 1164.0 1164.0 856.0 824.0 1.0
alpha[2] 2.842 1.7 0.259 5.952 0.049 0.035 1209.0 1209.0 895.0 527.0 1.0
dir_a[0,0] 0.076 0.088 0.0 0.236 0.003 0.002 935.0 797.0 1037.0 1195.0 1.0
dir_a[0,1] 0.52 0.259 0.125 1.0 0.009 0.007 788.0 762.0 711.0 708.0 1.0
dir_a[0,2] 0.269 0.241 0.0 0.756 0.007 0.006 1065.0 921.0 1129.0 975.0 1.0
dir_a[0,3] 0.264 0.254 0.0 0.785 0.008 0.006 1072.0 938.0 1079.0 868.0 1.0
dir_a[1,0] 0.226 0.225 0.0 0.686 0.008 0.005 860.0 860.0 876.0 1259.0 1.0
dir_a[1,1] 0.293 0.243 0.0 0.776 0.008 0.006 1037.0 881.0 1175.0 966.0 1.0
dir_a[1,2] 0.315 0.242 0.0 0.774 0.006 0.005 1623.0 1335.0 1660.0 950.0 1.0
